id,cipher_name,cipher_security
148,TLS_RSA_PSK_WITH_AES_128_CBC_SHA,insecure
149,TLS_RSA_PSK_WITH_AES_256_CBC_SHA,insecure
150,TLS_RSA_WITH_SEED_CBC_SHA,insecure
151,TLS_DH_DSS_WITH_SEED_CBC_SHA,insecure
152,TLS_DH_RSA_WITH_SEED_CBC_SHA,insecure
153,TLS_DHE_DSS_WITH_SEED_CBC_SHA,insecure
154,TLS_DHE_RSA_WITH_SEED_CBC_SHA,insecure
155,TLS_DH_anon_WITH_SEED_CBC_SHA,insecure
156,TLS_RSA_WITH_AES_128_GCM_SHA256,insecure
157,TLS_RSA_WITH_AES_256_GCM_SHA384,insecure
158,TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,degraded
159,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384,degraded
160,TLS_DH_RSA_WITH_AES_128_GCM_SHA256,insecure
161,TLS_DH_RSA_WITH_AES_256_GCM_SHA384,insecure
162,TLS_DHE_DSS_WITH_AES_128_GCM_SHA256,insecure
163,TLS_DHE_DSS_WITH_AES_256_GCM_SHA384,insecure
164,TLS_DH_DSS_WITH_AES_128_GCM_SHA256,insecure
165,TLS_DH_DSS_WITH_AES_256_GCM_SHA384,insecure
166,TLS_DH_anon_WITH_AES_128_GCM_SHA256,insecure
167,TLS_DH_anon_WITH_AES_256_GCM_SHA384,insecure
168,TLS_PSK_WITH_AES_128_GCM_SHA256,insecure
169,TLS_PSK_WITH_AES_256_GCM_SHA384,insecure
170,TLS_DHE_PSK_WITH_AES_128_GCM_SHA256,degraded
171,TLS_DHE_PSK_WITH_AES_256_GCM_SHA384,degraded
172,TLS_RSA_PSK_WITH_AES_128_GCM_SHA256,insecure
173,TLS_RSA_PSK_WITH_AES_256_GCM_SHA384,insecure
174,TLS_PSK_WITH_AES_128_CBC_SHA256,insecure
175,TLS_PSK_WITH_AES_256_CBC_SHA384,insecure
176,TLS_PSK_WITH_NULL_SHA256,insecure
177,TLS_PSK_WITH_NULL_SHA384,insecure
178,TLS_DHE_PSK_WITH_AES_128_CBC_SHA256,degraded
179,TLS_DHE_PSK_WITH_AES_256_CBC_SHA384,degraded
180,TLS_DHE_PSK_WITH_NULL_SHA256,insecure
181,TLS_DHE_PSK_WITH_NULL_SHA384,insecure
182,TLS_RSA_PSK_WITH_AES_128_CBC_SHA256,insecure
183,TLS_RSA_PSK_WITH_AES_256_CBC_SHA384,insecure
184,TLS_RSA_PSK_WITH_NULL_SHA256,insecure
185,TLS_RSA_PSK_WITH_NULL_SHA384,insecure
186,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256,insecure
187,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA256,insecure
188,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA256,insecure
189,TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA256,insecure
190,TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,insecure
191,TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA256,insecure
192,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256,insecure
193,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA256,insecure
194,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA256,insecure
195,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA256,insecure
196,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256,degraded
197,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA256,insecure
198,TLS_SM4_GCM_SM3,insecure
199,TLS_SM4_CCM_SM3,insecure
4865,TLS_AES_128_GCM_SHA256,recommended
4866,TLS_AES_256_GCM_SHA384,recommended
4867,TLS_CHACHA20_POLY1305_SHA256,recommended
4868,TLS_AES_128_CCM_SHA256,recommended
4869,TLS_AES_128_CCM_8_SHA256,insecure
49153,TLS_ECDH_ECDSA_WITH_NULL_SHA,insecure
49154,TLS_ECDH_ECDSA_WITH_RC4_128_SHA,insecure
49155,TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA,insecure
49156,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA,insecure
49157,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA,insecure
49158,TLS_ECDHE_ECDSA_WITH_NULL_SHA,insecure
49159,TLS_ECDHE_ECDSA_WITH_RC4_128_SHA,insecure
49160,TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA,insecure
49161,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,insecure
49162,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,insecure
49163,TLS_ECDH_RSA_WITH_NULL_SHA,insecure
49164,TLS_ECDH_RSA_WITH_RC4_128_SHA,insecure
49165,TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA,insecure
49166,TLS_ECDH_RSA_WITH_AES_128_CBC_SHA,insecure
49167,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA,insecure
49168,TLS_ECDHE_RSA_WITH_NULL_SHA,insecure
49169,TLS_ECDHE_RSA_WITH_RC4_128_SHA,insecure
49170,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,insecure
49171,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,insecure
49172,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,insecure
49173,TLS_ECDH_anon_WITH_NULL_SHA,insecure
49174,TLS_ECDH_anon_WITH_RC4_128_SHA,insecure
49175,TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA,insecure
49176,TLS_ECDH_anon_WITH_AES_128_CBC_SHA,insecure
49177,TLS_ECDH_anon_WITH_AES_256_CBC_SHA,insecure
49178,TLS_SRP_SHA_WITH_3DES_EDE_CBC_SHA,insecure
49179,TLS_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA,insecure
49180,TLS_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA,insecure
49181,TLS_SRP_SHA_WITH_AES_128_CBC_SHA,insecure
49182,TLS_SRP_SHA_RSA_WITH_AES_128_CBC_SHA,insecure
49183,TLS_SRP_SHA_DSS_WITH_AES_128_CBC_SHA,insecure
49184,TLS_SRP_SHA_WITH_AES_256_CBC_SHA,insecure
49185,TLS_SRP_SHA_RSA_WITH_AES_256_CBC_SHA,insecure
49186,TLS_SRP_SHA_DSS_WITH_AES_256_CBC_SHA,insecure
49187,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,degraded
49188,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,degraded
49189,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256,insecure
49190,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384,insecure
49191,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,degraded
49192,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,degraded
49193,TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256,insecure
49194,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384,insecure
49195,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,recommended
49196,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,recommended
49197,TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256,insecure
49198,TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384,insecure
49199,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,recommended
49200,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,recommended
49201,TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256,insecure
49202,TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384,insecure
49203,TLS_ECDHE_PSK_WITH_RC4_128_SHA,insecure
49204,TLS_ECDHE_PSK_WITH_3DES_EDE_CBC_SHA,insecure
49205,TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA,insecure
49206,TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA,insecure
49207,TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA256,degraded
49208,TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA384,degraded
49209,TLS_ECDHE_PSK_WITH_NULL_SHA,insecure
49210,TLS_ECDHE_PSK_WITH_NULL_SHA256,insecure
49211,TLS_ECDHE_PSK_WITH_NULL_SHA384,insecure
49212,TLS_RSA_WITH_ARIA_128_CBC_SHA256,insecure
49213,TLS_RSA_WITH_ARIA_256_CBC_SHA384,insecure
49214,TLS_DH_DSS_WITH_ARIA_128_CBC_SHA256,insecure
49215,TLS_DH_DSS_WITH_ARIA_256_CBC_SHA384,insecure
49216,TLS_DH_RSA_WITH_ARIA_128_CBC_SHA256,insecure
49217,TLS_DH_RSA_WITH_ARIA_256_CBC_SHA384,insecure
49218,TLS_DHE_DSS_WITH_ARIA_128_CBC_SHA256,insecure
49219,TLS_DHE_DSS_WITH_ARIA_256_CBC_SHA384,insecure
49220,TLS_DHE_RSA_WITH_ARIA_128_CBC_SHA256,degraded
49221,TLS_DHE_RSA_WITH_ARIA_256_CBC_SHA384,degraded
49222,TLS_DH_anon_WITH_ARIA_128_CBC_SHA256,insecure
49223,TLS_DH_anon_WITH_ARIA_256_CBC_SHA384,insecure
49224,TLS_ECDHE_ECDSA_WITH_ARIA_128_CBC_SHA256,degraded
49225,TLS_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384,degraded
49226,TLS_ECDH_ECDSA_WITH_ARIA_128_CBC_SHA256,insecure
49227,TLS_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384,insecure
49228,TLS_ECDHE_RSA_WITH_ARIA_128_CBC_SHA256,degraded
49229,TLS_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384,degraded
49230,TLS_ECDH_RSA_WITH_ARIA_128_CBC_SHA256,insecure
49231,TLS_ECDH_RSA_WITH_ARIA_256_CBC_SHA384,insecure
49232,TLS_RSA_WITH_ARIA_128_GCM_SHA256,insecure
49233,TLS_RSA_WITH_ARIA_256_GCM_SHA384,insecure
49234,TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256,degraded
49235,TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384,degraded
49236,TLS_DH_RSA_WITH_ARIA_128_GCM_SHA256,insecure
49237,TLS_DH_RSA_WITH_ARIA_256_GCM_SHA384,insecure
49238,TLS_DHE_DSS_WITH_ARIA_128_GCM_SHA256,insecure
49239,TLS_DHE_DSS_WITH_ARIA_256_GCM_SHA384,insecure
49240,TLS_DH_DSS_WITH_ARIA_128_GCM_SHA256,insecure
49241,TLS_DH_DSS_WITH_ARIA_256_GCM_SHA384,insecure
49242,TLS_DH_anon_WITH_ARIA_128_GCM_SHA256,insecure
49243,TLS_DH_anon_WITH_ARIA_256_GCM_SHA384,insecure
49244,TLS_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256,degraded
49245,TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384,degraded
49246,TLS_ECDH_ECDSA_WITH_ARIA_128_GCM_SHA256,insecure
49247,TLS_ECDH_ECDSA_WITH_ARIA_256_GCM_SHA384,insecure
49248,TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256,degraded
49249,TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384,degraded
49250,TLS_ECDH_RSA_WITH_ARIA_128_GCM_SHA256,insecure
49251,TLS_ECDH_RSA_WITH_ARIA_256_GCM_SHA384,insecure
49252,TLS_PSK_WITH_ARIA_128_CBC_SHA256,insecure
49253,TLS_PSK_WITH_ARIA_256_CBC_SHA384,insecure
49254,TLS_DHE_PSK_WITH_ARIA_128_CBC_SHA256,degraded
49255,TLS_DHE_PSK_WITH_ARIA_256_CBC_SHA384,degraded
49256,TLS_RSA_PSK_WITH_ARIA_128_CBC_SHA256,insecure
49257,TLS_RSA_PSK_WITH_ARIA_256_CBC_SHA384,insecure
49258,TLS_PSK_WITH_ARIA_128_GCM_SHA256,insecure
49259,TLS_PSK_WITH_ARIA_256_GCM_SHA384,insecure
49260,TLS_DHE_PSK_WITH_ARIA_128_GCM_SHA256,degraded
49261,TLS_DHE_PSK_WITH_ARIA_256_GCM_SHA384,degraded
49262,TLS_RSA_PSK_WITH_ARIA_128_GCM_SHA256,insecure
49263,TLS_RSA_PSK_WITH_ARIA_256_GCM_SHA384,insecure
49264,TLS_ECDHE_PSK_WITH_ARIA_128_CBC_SHA256,degraded
49265,TLS_ECDHE_PSK_WITH_ARIA_256_CBC_SHA384,degraded
49266,TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,degraded
49267,TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,degraded
49268,TLS_ECDH_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,insecure
49269,TLS_ECDH_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,insecure
49270,TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,degraded
